,indicator,time_offset
2017-12-01 21:00:00,0,-60
2017-12-01 21:01:00,0,-59
2017-12-01 21:02:00,0,-58
2017-12-01 21:03:00,0,-57
2017-12-01 21:04:00,0,-56
2017-12-01 21:05:00,0,-55
2017-12-01 21:06:00,0,-54
2017-12-01 21:07:00,0,-53
2017-12-01 21:08:00,0,-52
2017-12-01 21:09:00,0,-51
2017-12-01 21:10:00,0,-50
2017-12-01 21:11:00,0,-49
2017-12-01 21:12:00,0,-48
2017-12-01 21:13:00,0,-47
2017-12-01 21:14:00,0,-46
2017-12-01 21:15:00,0,-45
2017-12-01 21:16:00,0,-44
2017-12-01 21:17:00,0,-43
2017-12-01 21:18:00,0,-42
2017-12-01 21:19:00,0,-41
2017-12-01 21:20:00,0,-40
2017-12-01 21:21:00,0,-39
2017-12-01 21:22:00,0,-38
2017-12-01 21:23:00,0,-37
2017-12-01 21:24:00,0,-36
2017-12-01 21:25:00,0,-35
2017-12-01 21:26:00,0,-34
2017-12-01 21:27:00,0,-33
2017-12-01 21:28:00,0,-32
2017-12-01 21:29:00,0,-31
2017-12-01 21:30:00,0,-30
2017-12-01 21:31:00,0,-29
2017-12-01 21:32:00,0,-28
2017-12-01 21:33:00,0,-27
2017-12-01 21:34:00,0,-26
2017-12-01 21:35:00,0,-25
2017-12-01 21:36:00,0,-24
2017-12-01 21:37:00,0,-23
2017-12-01 21:38:00,0,-22
2017-12-01 21:39:00,0,-21
2017-12-01 21:40:00,0,-20
2017-12-01 21:41:00,0,-19
2017-12-01 21:42:00,0,-18
2017-12-01 21:43:00,0,-17
2017-12-01 21:44:00,0,-16
2017-12-01 21:45:00,0,-15
2017-12-01 21:46:00,0,-14
2017-12-01 21:47:00,0,-13
2017-12-01 21:48:00,0,-12
2017-12-01 21:49:00,0,-11
2017-12-01 21:50:00,0,-10
2017-12-01 21:51:00,0,-9
2017-12-01 21:52:00,0,-8
2017-12-01 21:53:00,0,-7
2017-12-01 21:54:00,0,-6
2017-12-01 21:55:00,0,-5
2017-12-01 21:56:00,0,-4
2017-12-01 21:57:00,0,-3
2017-12-01 21:58:00,0,-2
2017-12-01 21:59:00,0,-1
2017-12-01 22:00:00,0,0
2017-12-01 22:01:00,0,1
2017-12-01 22:02:00,0,2
2017-12-01 22:03:00,0,3
2017-12-01 22:04:00,0,4
2017-12-01 22:05:00,0,5
2017-12-01 22:06:00,0,6
2017-12-01 22:07:00,0,7
2017-12-01 22:08:00,0,8
2017-12-01 22:09:00,0,9
2017-12-01 22:10:00,0,10
2017-12-01 22:11:00,0,11
2017-12-01 22:12:00,0,12
2017-12-01 22:13:00,0,13
2017-12-01 22:14:00,0,14
2017-12-01 22:15:00,0,15
2017-12-01 22:16:00,1,16
2017-12-01 22:17:00,1,17
2017-12-01 22:18:00,1,18
2017-12-01 22:19:00,1,19
2017-12-01 22:20:00,1,20
2017-12-01 22:21:00,1,21
2017-12-01 22:22:00,1,22
2017-12-01 22:23:00,1,23
2017-12-01 22:24:00,1,24
2017-12-01 22:25:00,1,25
2017-12-01 22:26:00,1,26
2017-12-01 22:27:00,1,27
2017-12-01 22:28:00,1,28
2017-12-01 22:29:00,1,29
2017-12-01 22:30:00,1,30
2017-12-01 22:31:00,1,31
2017-12-01 22:32:00,1,32
2017-12-01 22:33:00,1,33
2017-12-01 22:34:00,1,34
2017-12-01 22:35:00,1,35
2017-12-01 22:36:00,1,36
2017-12-01 22:37:00,1,37
2017-12-01 22:38:00,1,38
2017-12-01 22:39:00,1,39
2017-12-01 22:40:00,1,40
2017-12-01 22:41:00,1,41
2017-12-01 22:42:00,1,42
2017-12-01 22:43:00,1,43
